# EOS 2000D hot pixels: per-pixel MIN of 235 x 10s ISO1600 JPEGs (IMG_9347-9581, night3 2026-07-12), threshold median+15
# x,y,min_value (6000x4000 frame; JPEG demosaic spreads each hot photosite over ~2-3 px)
x,y,value
2273,626,225
4760,2851,224
4759,2851,221
3420,3876,216
4042,2924,216
4303,1878,215
5184,3820,215
5536,2620,215
4338,3264,215
4043,2924,214
5537,2620,214
510,2600,214
4449,3652,213
4070,1045,213
4809,2244,213
3421,3876,213
451,878,213
4302,1878,213
2588,512,213
1996,3263,213
1910,3029,213
202,2564,213
4339,3264,213
5900,48,213
5185,3820,213
4069,1045,212
203,2564,212
3796,1036,212
5535,2620,212
5144,1476,212
1909,3029,212
4808,2244,212
2849,154,212
2589,512,212
3896,1530,212
3419,3876,212
2422,1758,212
2798,1011,211
3797,1036,211
5901,48,211
511,2600,211
1995,3263,211
294,1713,211
2287,2035,211
5145,1476,211
1878,1312,211
3763,2331,211
3897,1530,211
4301,1878,211
4337,3264,211
2423,1758,211
4041,2924,210
4448,3652,210
817,3355,210
2797,1011,210
818,3355,209
5879,958,209
1879,1312,209
3342,2217,209
5899,48,209
2288,2035,208
4807,2244,208
509,2600,208
2587,512,208
5143,1476,208
3795,1036,208
5109,3304,207
1378,1701,207
4666,2879,207
4445,3654,207
5210,3315,207
5353,2772,207
3764,2331,207
1235,3538,207
5183,3820,207
5431,1928,207
1877,1312,207
1749,3512,207
3341,2217,207
4577,2740,207
360,1653,206
201,2564,206
3895,1530,206
293,1713,206
128,3441,206
1606,1169,206
4361,3360,206
5602,2275,206
5168,2803,206
1886,535,206
1261,908,206
2421,1758,206
1219,66,206
4758,2851,205
4529,488,205
359,1653,205
1691,928,205
1952,3255,204
2288,17,204
2287,17,204
4083,1652,204
2202,3451,204
1985,818,203
1917,962,203
1941,882,202
4943,2535,201
4944,2535,201
3762,2331,199
4761,2851,199
1564,2623,198
2586,2173,198
1994,3263,197
1908,3029,197
4068,1045,196
4071,1045,196
816,3355,196
1911,3029,196
5788,866,195
1997,3263,195
3340,2217,195
2286,2035,195
2796,1011,194
819,3355,194
3765,2331,194
2289,2035,194
3343,2217,193
2799,1011,193
358,1653,193
292,1713,192
295,1713,192
2286,17,192
5789,866,190
4447,3652,189
361,1653,189
2289,17,189
4446,3653,187
4304,1878,187
4340,3264,185
4044,2924,185
5186,3820,184
2424,1758,184
2590,512,184
4810,2244,183
1880,1312,183
3898,1530,183
4942,2535,183
3422,3876,182
3798,1036,182
4450,3652,182
5146,1476,182
5902,48,182
512,2600,182
5538,2620,181
4945,2535,181
5787,866,181
204,2564,178
3418,3876,167
4336,3264,166
4040,2924,165
4300,1878,164
5182,3820,164
3894,1530,164
2420,1758,164
5534,2620,163
1876,1312,162
508,2600,162
5142,1476,162
5898,48,162
2586,512,162
3794,1036,162
118,77,161
200,2564,161
4806,2244,161
1692,927,161
5169,2804,159
5167,2804,159
2273,625,158
2273,627,158
5169,2802,158
1260,909,158
4576,2741,157
1750,3511,157
1607,1168,157
4444,3653,157
5110,3305,157
1750,3513,156
1484,312,156
4578,2741,156
1748,3513,156
5603,2274,156
1692,929,156
5108,3303,156
1260,907,155
4578,2739,155
5601,2276,155
4667,2878,155
4576,2739,154
4446,3652,154
1748,3511,154
1690,927,154
1262,909,154
1218,67,154
5167,2802,154
1607,1170,154
5209,3314,153
4444,3655,153
1262,907,153
4445,3653,153
1605,1170,153
1916,963,153
127,3440,153
1236,3537,153
129,3442,153
5601,2274,152
1907,3029,152
5211,3316,152
5352,2771,152
127,3442,152
