night,bst_hhmm,starcam_mean,skycam_crop,moon,note
2026-05-27,22:15,108.1,61.5,waxing gibbous 86%,dusk
2026-05-27,22:16,102.5,38.2,waxing gibbous 86%,dusk
2026-05-27,22:17,97.4,29.6,waxing gibbous 86%,dusk
2026-05-27,22:18,93.2,27.5,waxing gibbous 86%,dusk
2026-05-27,22:20,85.8,26.8,waxing gibbous 86%,dusk
2026-05-27,22:25,72.7,26.2,waxing gibbous 86%,dusk
2026-05-27,22:30,65.2,25.9,waxing gibbous 86%,dusk
2026-05-27,22:35,59.5,25.4,waxing gibbous 86%,dusk
2026-05-27,22:40,56.9,25.4,waxing gibbous 86%,dusk
2026-05-27,22:44,54.6,25.3,waxing gibbous 86%,dusk-settled
2026-05-27,23:00,51.6,,waxing gibbous 86%,clear
2026-05-27,23:30,49.3,,waxing gibbous 86%,clear
2026-05-28,00:00,49.8,,waxing gibbous 86%,clear
2026-05-28,00:30,49.3,,waxing gibbous 86%,clear
2026-05-28,01:00,49.8,,waxing gibbous 86%,clear
2026-05-28,01:30,48.7,22.2,waxing gibbous 86%,clear
2026-05-28,01:45,47.9,22.2,waxing gibbous 86%,clear-pre-cloud
2026-05-28,01:53,57.5,39.7,waxing gibbous 86%,cloud-onset
2026-05-28,01:55,59.5,48.4,waxing gibbous 86%,cloud
2026-05-28,01:57,62.3,50.8,waxing gibbous 86%,cloud
2026-05-28,01:59,70.9,52.5,waxing gibbous 86%,cloud
2026-05-28,02:01,81.4,55.1,waxing gibbous 86%,cloud-MUST-CLOSE
2026-05-28,02:03,85.2,57.1,waxing gibbous 86%,cloud-MUST-CLOSE-peak
2026-05-28,02:05,81.0,53.5,waxing gibbous 86%,cloud
2026-05-28,02:09,63.8,48.8,waxing gibbous 86%,clearing
2026-05-28,02:15,57.2,42.1,waxing gibbous 86%,clearing
2026-05-28,02:21,49.1,42.1,waxing gibbous 86%,clearing
2026-05-28,02:27,51.8,31.1,waxing gibbous 86%,near-clear-starcam-skycam-diverge
2026-05-28,02:29,53.6,23.6,waxing gibbous 86%,clear-skycam-starcam-diverge
